REGION,TECHNOLOGY,YEAR,VALUE
EU27,EUE00GHG00BS,2018,0.0
EU27,EUE00GHG00BS,2019,0.0
EU27,EUE00GHG00BS,2020,0.0
EU27,EUE00GHG00BS,2021,0.0
EU27,EUE00GHG00BS,2022,0.0
EU27,EUE00GHG00BS,2023,0.0
EU27,EUE00GHG00BS,2024,0.0
EU27,EUE00GHG00BS,2025,0.0
EU27,EUE00GHG00BS,2026,0.0
EU27,EUE00GHG00BS,2027,0.0
EU27,EUE00GHG00BS,2028,0.0
EU27,EUE00GHG00BS,2029,0.0
EU27,EUE00GHG00BS,2030,0.0
EU27,EUE00GHG00BS,2031,0.0
EU27,EUE00GHG00BS,2032,0.0
EU27,EUE00GHG00BS,2033,0.0
EU27,EUE00GHG00BS,2034,0.0
EU27,EUE00GHG00BS,2035,0.0
EU27,EUE00GHG00BS,2036,0.0
EU27,EUE00GHG00BS,2037,0.0
EU27,EUE00GHG00BS,2038,0.0
EU27,EUE00GHG00BS,2039,0.0
EU27,EUE00GHG00BS,2040,0.0
EU27,EUE00GHG00BS,2041,0.0
EU27,EUE00GHG00BS,2042,0.0
EU27,EUE00GHG00BS,2043,0.0
EU27,EUE00GHG00BS,2044,0.0
EU27,EUE00GHG00BS,2045,0.0
EU27,EUE00GHG00BS,2046,0.0
EU27,EUE00GHG00BS,2047,0.0
EU27,EUE00GHG00BS,2048,0.0
EU27,EUE00GHG00BS,2049,0.0
EU27,EUE00GHG00BS,2050,0.0
EU27,EUE00GHG00BS,2051,0.0
EU27,EUE00GHG00BS,2052,0.0
EU27,EUE00GHG00BS,2053,0.0
EU27,EUE00GHG00BS,2054,0.0
EU27,EUE00GHG00BS,2055,0.0
EU27,EUE00GHG00BS,2056,0.0
EU27,EUE00GHG00BS,2057,0.0
EU27,EUE00GHG00BS,2058,0.0
EU27,EUE00GHG00BS,2059,0.0
EU27,EUE00GHG00BS,2060,0.0
EU27,EUE00GHG00BS,2061,0.0
EU27,EUE00GHG00BS,2062,0.0
EU27,EUE00GHG00BS,2063,0.0
EU27,EUE00GHG00BS,2064,0.0
EU27,EUE00GHG00BS,2065,0.0
EU27,EUE00GHG00BS,2066,0.0
EU27,EUE00GHG00BS,2067,0.0
EU27,EUE00GHG00BS,2068,0.0
EU27,EUE00GHG00BS,2069,0.0
EU27,EUE00GHG00BS,2070,0.0
EU27,EUEAGBIOPS00,2018,0.0
EU27,EUEAGBIOPS00,2019,0.0
EU27,EUEAGBIOPS00,2020,0.0
EU27,EUEAGBIOPS00,2021,0.0
EU27,EUEAGBIOPS00,2022,0.0
EU27,EUEAGBIOPS00,2023,0.0
EU27,EUEAGBIOPS00,2024,0.0
EU27,EUEAGBIOPS00,2025,0.0
EU27,EUEAGBIOPS00,2026,0.0
EU27,EUEAGBIOPS00,2027,0.0
EU27,EUEAGBIOPS00,2028,0.0
EU27,EUEAGBIOPS00,2029,0.0
EU27,EUEAGBIOPS00,2030,0.0
EU27,EUEAGBIOPS00,2031,0.0
EU27,EUEAGBIOPS00,2032,0.0
EU27,EUEAGBIOPS00,2033,0.0
EU27,EUEAGBIOPS00,2034,0.0
EU27,EUEAGBIOPS00,2035,0.0
EU27,EUEAGBIOPS00,2036,0.0
EU27,EUEAGBIOPS00,2037,0.0
EU27,EUEAGBIOPS00,2038,0.0
EU27,EUEAGBIOPS00,2039,0.0
EU27,EUEAGBIOPS00,2040,0.0
EU27,EUEAGBIOPS00,2041,0.0
EU27,EUEAGBIOPS00,2042,0.0
EU27,EUEAGBIOPS00,2043,0.0
EU27,EUEAGBIOPS00,2044,0.0
EU27,EUEAGBIOPS00,2045,0.0
EU27,EUEAGBIOPS00,2046,0.0
EU27,EUEAGBIOPS00,2047,0.0
EU27,EUEAGBIOPS00,2048,0.0
EU27,EUEAGBIOPS00,2049,0.0
EU27,EUEAGBIOPS00,2050,0.0
EU27,EUEAGBIOPS00,2051,0.0
EU27,EUEAGBIOPS00,2052,0.0
EU27,EUEAGBIOPS00,2053,0.0
EU27,EUEAGBIOPS00,2054,0.0
EU27,EUEAGBIOPS00,2055,0.0
EU27,EUEAGBIOPS00,2056,0.0
EU27,EUEAGBIOPS00,2057,0.0
EU27,EUEAGBIOPS00,2058,0.0
EU27,EUEAGBIOPS00,2059,0.0
EU27,EUEAGBIOPS00,2060,0.0
EU27,EUEAGBIOPS00,2061,0.0
EU27,EUEAGBIOPS00,2062,0.0
EU27,EUEAGBIOPS00,2063,0.0
EU27,EUEAGBIOPS00,2064,0.0
EU27,EUEAGBIOPS00,2065,0.0
EU27,EUEAGBIOPS00,2066,0.0
EU27,EUEAGBIOPS00,2067,0.0
EU27,EUEAGBIOPS00,2068,0.0
EU27,EUEAGBIOPS00,2069,0.0
EU27,EUEAGBIOPS00,2070,0.0
EU27,EUEAGDSLPS00,2018,0.0
EU27,EUEAGDSLPS00,2019,0.0
EU27,EUEAGDSLPS00,2020,0.0
EU27,EUEAGDSLPS00,2021,0.0
EU27,EUEAGDSLPS00,2022,0.0
EU27,EUEAGDSLPS00,2023,0.0
EU27,EUEAGDSLPS00,2024,0.0
EU27,EUEAGDSLPS00,2025,0.0
EU27,EUEAGDSLPS00,2026,0.0
EU27,EUEAGDSLPS00,2027,0.0
EU27,EUEAGDSLPS00,2028,0.0
EU27,EUEAGDSLPS00,2029,0.0
EU27,EUEAGDSLPS00,2030,0.0
EU27,EUEAGDSLPS00,2031,0.0
EU27,EUEAGDSLPS00,2032,0.0
EU27,EUEAGDSLPS00,2033,0.0
EU27,EUEAGDSLPS00,2034,0.0
EU27,EUEAGDSLPS00,2035,0.0
EU27,EUEAGDSLPS00,2036,0.0
EU27,EUEAGDSLPS00,2037,0.0
EU27,EUEAGDSLPS00,2038,0.0
EU27,EUEAGDSLPS00,2039,0.0
EU27,EUEAGDSLPS00,2040,0.0
EU27,EUEAGDSLPS00,2041,0.0
EU27,EUEAGDSLPS00,2042,0.0
EU27,EUEAGDSLPS00,2043,0.0
EU27,EUEAGDSLPS00,2044,0.0
EU27,EUEAGDSLPS00,2045,0.0
EU27,EUEAGDSLPS00,2046,0.0
EU27,EUEAGDSLPS00,2047,0.0
EU27,EUEAGDSLPS00,2048,0.0
EU27,EUEAGDSLPS00,2049,0.0
EU27,EUEAGDSLPS00,2050,0.0
EU27,EUEAGDSLPS00,2051,0.0
EU27,EUEAGDSLPS00,2052,0.0
EU27,EUEAGDSLPS00,2053,0.0
EU27,EUEAGDSLPS00,2054,0.0
EU27,EUEAGDSLPS00,2055,0.0
EU27,EUEAGDSLPS00,2056,0.0
EU27,EUEAGDSLPS00,2057,0.0
EU27,EUEAGDSLPS00,2058,0.0
EU27,EUEAGDSLPS00,2059,0.0
EU27,EUEAGDSLPS00,2060,0.0
EU27,EUEAGDSLPS00,2061,0.0
EU27,EUEAGDSLPS00,2062,0.0
EU27,EUEAGDSLPS00,2063,0.0
EU27,EUEAGDSLPS00,2064,0.0
EU27,EUEAGDSLPS00,2065,0.0
EU27,EUEAGDSLPS00,2066,0.0
EU27,EUEAGDSLPS00,2067,0.0
EU27,EUEAGDSLPS00,2068,0.0
EU27,EUEAGDSLPS00,2069,0.0
EU27,EUEAGDSLPS00,2070,0.0
EU27,EUEAGNGSPS00,2018,0.0
EU27,EUEAGNGSPS00,2019,0.0
EU27,EUEAGNGSPS00,2020,0.0
EU27,EUEAGNGSPS00,2021,0.0
EU27,EUEAGNGSPS00,2022,0.0
EU27,EUEAGNGSPS00,2023,0.0
EU27,EUEAGNGSPS00,2024,0.0
EU27,EUEAGNGSPS00,2025,0.0
EU27,EUEAGNGSPS00,2026,0.0
EU27,EUEAGNGSPS00,2027,0.0
EU27,EUEAGNGSPS00,2028,0.0
EU27,EUEAGNGSPS00,2029,0.0
EU27,EUEAGNGSPS00,2030,0.0
EU27,EUEAGNGSPS00,2031,0.0
EU27,EUEAGNGSPS00,2032,0.0
EU27,EUEAGNGSPS00,2033,0.0
EU27,EUEAGNGSPS00,2034,0.0
EU27,EUEAGNGSPS00,2035,0.0
EU27,EUEAGNGSPS00,2036,0.0
EU27,EUEAGNGSPS00,2037,0.0
EU27,EUEAGNGSPS00,2038,0.0
EU27,EUEAGNGSPS00,2039,0.0
EU27,EUEAGNGSPS00,2040,0.0
EU27,EUEAGNGSPS00,2041,0.0
EU27,EUEAGNGSPS00,2042,0.0
EU27,EUEAGNGSPS00,2043,0.0
EU27,EUEAGNGSPS00,2044,0.0
EU27,EUEAGNGSPS00,2045,0.0
EU27,EUEAGNGSPS00,2046,0.0
EU27,EUEAGNGSPS00,2047,0.0
EU27,EUEAGNGSPS00,2048,0.0
EU27,EUEAGNGSPS00,2049,0.0
EU27,EUEAGNGSPS00,2050,0.0
EU27,EUEAGNGSPS00,2051,0.0
EU27,EUEAGNGSPS00,2052,0.0
EU27,EUEAGNGSPS00,2053,0.0
EU27,EUEAGNGSPS00,2054,0.0
EU27,EUEAGNGSPS00,2055,0.0
EU27,EUEAGNGSPS00,2056,0.0
EU27,EUEAGNGSPS00,2057,0.0
EU27,EUEAGNGSPS00,2058,0.0
EU27,EUEAGNGSPS00,2059,0.0
EU27,EUEAGNGSPS00,2060,0.0
EU27,EUEAGNGSPS00,2061,0.0
EU27,EUEAGNGSPS00,2062,0.0
EU27,EUEAGNGSPS00,2063,0.0
EU27,EUEAGNGSPS00,2064,0.0
EU27,EUEAGNGSPS00,2065,0.0
EU27,EUEAGNGSPS00,2066,0.0
EU27,EUEAGNGSPS00,2067,0.0
EU27,EUEAGNGSPS00,2068,0.0
EU27,EUEAGNGSPS00,2069,0.0
EU27,EUEAGNGSPS00,2070,0.0
EU27,EUEAV00000BS,2018,2959818.645419782
EU27,EUEAV00000BS,2019,3023392.6925999136
EU27,EUEAV00000BS,2020,1318950.9688949576
EU27,EUEAV00000BS,2021,1620307.8577348755
EU27,EUEAV00000BS,2022,0.0
